"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Carson","Cruz","Rubio","Bush","Christie","Fiorina","Rand.Paul","Kasich","Huckabee","Jindal","Santorum","Graham","Pataki","Gilmore","Perry","Walker","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","polled_party","voter","date_time","compare_date"
"122","YouGov/Economist","2015-07-04","2015-07-06","2015-07-10 2000-01-01 01:26:41 UTC",226,"Registered Voters - Republican","Internet",15,7,4,9,11,6,3,11,2,9,2,2,0,0,NA,3,9,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22360","https://today.yougov.com/news/2015/07/09/gop-frontrunner-donald-trump/","Nonpartisan","None","Republican","Registered Voters","2015-07-10 01:26:41","1436516801"
"123","YouGov/Economist","2015-06-27","2015-06-29","2015-07-08 2000-01-01 22:58:40 UTC",246,"Registered Voters - Republican","Internet",11,9,4,10,14,3,6,11,2,6,3,1,2,0,NA,2,12,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22352","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/enwytihwse/econTabReport.pdf","Nonpartisan","None","Republican","Registered Voters","2015-07-08 22:58:40","1436421520"
"124","CNN","2015-06-26","2015-06-28","2015-07-01 2000-01-01 18:33:34 UTC",407,"Likely Voters - Republican","Live Phone",12,8,3,7,17,3,1,8,3,5,2,4,1,0,NA,4,6,9,"http://elections.huffingtonpost.com/pollster/polls/cnn-22330","http://i2.cdn.turner.com/cnn/2015/images/06/30/trumpbushclinton.pdf","Nonpartisan","None","Republican","Likely Voters","2015-07-01 18:33:34","1435800814"
"125","FOX","2015-06-21","2015-06-23","2015-06-25 2000-01-01 19:39:57 UTC",378,"Registered Voters - Republican","Live Phone",11,10,4,8,15,2,3,9,2,6,2,3,1,1,NA,2,9,9,"http://elections.huffingtonpost.com/pollster/polls/fox-22300","http://www.foxnews.com/politics/interactive/2015/06/24/0624152016iranweb/","Nonpartisan","None","Republican","Registered Voters","2015-06-25 19:39:57","1435286397"
"126","YouGov/Economist","2015-06-20","2015-06-22","2015-06-25 2000-01-01 23:20:39 UTC",235,"Registered Voters - Republican","Internet",11,10,9,11,10,2,3,11,2,6,0,2,2,0,NA,2,10,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22306","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/iay0mr88pc/econTabReport.pdf","Nonpartisan","None","Republican","Registered Voters","2015-06-25 23:20:39","1435299639"
"127","NBC/WSJ","2015-06-14","2015-06-18","2015-06-23 2000-01-01 00:24:58 UTC",236,"Likely Voters - Republican","Live Phone",1,11,4,14,22,4,2,7,1,9,0,0,1,0,NA,5,17,1,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22284","http://online.wsj.com/public/resources/documents/WSJNBCpoll06222015.pdf","Nonpartisan","None","Republican","Likely Voters","2015-06-23 00:24:58","1435044298"
"128","YouGov/Economist","2015-06-13","2015-06-15","2015-06-19 2000-01-01 19:38:31 UTC",235,"Registered Voters - Republican","Internet",2,9,3,10,14,4,6,9,4,7,1,3,0,0,NA,7,9,11,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22276","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ttjqflfkfd/econTabReport.pdf","Nonpartisan","None","Republican","Registered Voters","2015-06-19 19:38:31","1434767911"
"129","Monmouth University","2015-06-11","2015-06-14","2015-06-15 2000-01-01 18:57:24 UTC",351,"Registered Voters - Republican","Live Phone",2,11,5,9,9,4,2,6,1,8,1,3,2,0,NA,4,10,22,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22246","http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/1c2a9e72-6933-46c4-9d68-87d264821039.pdf","Nonpartisan","None","Republican","Registered Voters","2015-06-15 18:57:24","1434419844"
"130","PPP (D)","2015-06-11","2015-06-14","2015-06-17 2000-01-01 18:33:48 UTC",492,"Likely Voters - Republican","IVR/Online",NA,12,8,13,15,4,5,8,NA,11,NA,NA,NA,NA,NA,NA,17,9,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22258","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_61615.pdf","Pollster","Dem","Republican","Likely Voters","2015-06-17 18:33:48","1434591228"
"131","YouGov/Economist","2015-06-06","2015-06-08","2015-06-15 2000-01-01 20:31:52 UTC",343,"Registered Voters - Republican","Internet",NA,10,7,10,8,5,7,9,2,7,1,4,5,0,NA,2,7,14,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22247","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/uxmx78ih3n/econTabReport.pdf","Nonpartisan","None","Republican","Registered Voters","2015-06-15 20:31:52","1434425512"
"132","FOX","2015-05-31","2015-06-02","2015-06-04 2000-01-01 19:00:34 UTC",370,"Registered Voters - Republican","Live Phone",4,11,8,7,12,5,2,9,2,6,1,2,2,2,NA,4,12,10,"http://elections.huffingtonpost.com/pollster/polls/fox-22210","http://www.foxnews.com/politics/interactive/2015/06/11/fox-news-poll-summer-vacation-and-2016-presidential-candidates-88883845/","Nonpartisan","None","Republican","Registered Voters","2015-06-04 19:00:34","1433469634"
"133","YouGov/Economist","2015-05-30","2015-06-01","2015-06-05 2000-01-01 22:05:57 UTC",255,"Registered Voters - Republican","Internet",NA,6,7,8,15,2,5,10,3,9,1,3,1,0,NA,2,12,14,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22218","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/whzwibgmkd/econTabReport.pdf","Nonpartisan","None","Republican","Registered Voters","2015-06-05 22:05:57","1433567157"
"134","CNN","2015-05-29","2015-05-31","2015-06-02 2000-01-01 20:14:56 UTC",483,"Adults - Republican","Live Phone",3,7,8,14,13,4,1,8,1,10,1,2,1,3,NA,5,10,3,"http://elections.huffingtonpost.com/pollster/polls/cnn-22199","http://i2.cdn.turner.com/cnn/2015/images/06/01/2016.poll.pdf","Nonpartisan","None","Republican","Adults","2015-06-02 20:14:56","1433301296"
"135","ABC/Post","2015-05-28","2015-05-31","2015-06-02 2000-01-01 20:49:13 UTC",362,"Registered Voters - Republican","Live Phone",4,8,8,10,10,6,2,11,3,9,0,4,1,1,NA,2,11,8,"http://elections.huffingtonpost.com/pollster/polls/abc-post-22200","http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-may-28-31-2015/1718/","Nonpartisan","None","Republican","Registered Voters","2015-06-02 20:49:13","1433303353"
"136","Quinnipiac","2015-05-19","2015-05-26","2015-05-28 2000-01-01 21:52:59 UTC",679,"Registered Voters - Republican","Live Phone",5,10,6,10,10,4,2,7,2,10,1,0,1,0,NA,1,10,21,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22181","http://www.quinnipiac.edu/images/polling/us/us05282015_U32trdf.pdf","Nonpartisan","None","Republican","Registered Voters","2015-05-28 21:52:59","1432875179"
"137","YouGov/Economist","2015-05-23","2015-05-25","2015-05-29 2000-01-01 01:14:54 UTC",209,"Registered Voters - Republican","Internet",NA,12,6,16,10,3,2,9,1,10,2,0,1,NA,NA,4,13,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22188","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/olylop8wkh/econTabReport.pdf","Nonpartisan","None","Republican","Registered Voters","2015-05-29 01:14:54","1432887294"
"138","YouGov/Economist","2015-05-16","2015-05-18","2015-05-21 2000-01-01 00:50:28 UTC",229,"Registered Voters - Republican","Internet",NA,11,4,12,7,7,2,10,4,9,1,1,1,NA,NA,2,17,11,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22155","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/nm33fk7pqr/econTabReport.pdf","Nonpartisan","None","Republican","Registered Voters","2015-05-21 00:50:28","1432194628"
"139","Robert Morris University","2015-05-08","2015-05-16","2015-06-04 2000-01-01 23:18:44 UTC",255,"Adults - Republican","Internet",NA,7,7,15,15,8,NA,2,NA,8,NA,1,NA,NA,NA,NA,14,NA,"http://elections.huffingtonpost.com/pollster/polls/robert-morris-university-22215","http://www.rmu.edu/News.aspx?id=1060","Nonpartisan","None","Republican","Adults","2015-06-04 23:18:44","1433485124"
"140","FOX","2015-05-09","2015-05-12","2015-05-14 2000-01-01 19:14:57 UTC",413,"Registered Voters - Republican","Live Phone",4,13,6,9,13,6,1,7,2,10,1,2,0,0,NA,2,11,10,"http://elections.huffingtonpost.com/pollster/polls/fox-22132","http://www.foxnews.com/politics/interactive/2015/05/13/fox-news-polls-huckabee-seen-as-more-ethical-than-most-clintons-favorable-slips/","Nonpartisan","None","Republican","Registered Voters","2015-05-14 19:14:57","1431656097"
"141","YouGov/Economist","2015-05-09","2015-05-11","2015-05-18 2000-01-01 19:00:58 UTC",246,"Registered Voters - Republican","Internet",NA,9,8,17,10,3,4,6,1,11,1,2,1,NA,NA,1,14,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22145","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ihh96gmssm/econTabReport.pdf","Nonpartisan","None","Republican","Registered Voters","2015-05-18 19:00:58","1432000858"
"142","PPP (D)","2015-05-07","2015-05-10","2015-05-13 2000-01-01 20:59:19 UTC",685,"Likely Voters - Republican","IVR/Online",NA,12,10,13,11,5,NA,9,NA,12,NA,NA,NA,NA,NA,2,18,7,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22128","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_51315.pdf","Pollster","Dem","Republican","Likely Voters","2015-05-13 20:59:19","1431575959"
"143","YouGov/Economist","2015-05-02","2015-05-04","2015-05-07 2000-01-01 02:08:35 UTC",218,"Registered Voters - Republican","Internet",NA,4,7,11,14,7,0,9,5,7,0,1,0,NA,NA,6,16,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22109","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/bjly8n5o7b/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-05-07 02:08:35","1430989715"
"144","NBC/WSJ","2015-04-26","2015-04-30","2015-05-05 2000-01-01 17:31:12 UTC",251,"Likely Voters - Republican","Live Phone",NA,7,11,18,23,5,1,11,NA,5,NA,NA,NA,NA,NA,2,14,3,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22096","http://online.wsj.com/public/resources/documents/WSJNBCpoll05042015.pdf","Nonpartisan","None","Republican","Likely Voters","2015-05-05 17:31:12","1430872272"
"145","YouGov/Economist","2015-04-25","2015-04-27","2015-05-01 2000-01-01 23:25:02 UTC",233,"Registered Voters - Republican","Internet",NA,5,7,17,9,5,2,8,2,6,2,1,2,NA,NA,2,19,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22090","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1i8b982g6q/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-05-01 23:25:02","1430547902"
"146","FOX","2015-04-19","2015-04-21","2015-04-24 2000-01-01 16:40:24 UTC",383,"Registered Voters - Republican","Live Phone",5,6,8,13,9,6,0,10,2,9,1,1,1,1,NA,2,12,9,"http://elections.huffingtonpost.com/pollster/polls/fox-22059","http://www.foxnews.com/politics/interactive/2015/04/23/fox-news-poll-042315/","Nonpartisan","None","Republican","Registered Voters","2015-04-24 16:40:24","1429918824"
"147","Quinnipiac","2015-04-16","2015-04-21","2015-04-23 2000-01-01 18:55:11 UTC",567,"Registered Voters - Republican","Live Phone",NA,3,9,15,13,7,1,8,2,7,1,2,2,NA,NA,3,11,15,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22054","http://www.quinnipiac.edu/images/polling/us/us04232015_Uknh62d.pdf","Nonpartisan","None","Republican","Registered Voters","2015-04-23 18:55:11","1429840511"
"148","YouGov/Economist","2015-04-18","2015-04-20","2015-04-23 2000-01-01 20:19:36 UTC",220,"Registered Voters - Republican","Internet",NA,10,11,9,13,6,1,11,1,5,2,1,0,NA,NA,2,15,10,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22055","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3nogobkv8t/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-04-23 20:19:36","1429845576"
"149","CNN","2015-04-16","2015-04-19","2015-04-20 2000-01-01 18:02:18 UTC",435,"Adults - Republican","Live Phone",NA,4,7,11,17,4,2,11,2,9,2,3,2,0,NA,3,12,7,"http://elections.huffingtonpost.com/pollster/polls/cnn-22036","http://i2.cdn.turner.com/cnn/2015/images/04/20/cnnorc2016poll04202015.pdf","Nonpartisan","None","Republican","Adults","2015-04-20 18:02:18","1429578138"
"150","YouGov/Economist","2015-04-11","2015-04-13","2015-04-16 2000-01-01 00:21:33 UTC",228,"Registered Voters - Republican","Internet",NA,7,13,7,12,4,3,13,2,4,1,2,2,NA,NA,4,14,12,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22021","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/22yxwjir5z/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-04-16 00:21:33","1429168893"
"151","Monmouth University","2015-03-30","2015-04-02","2015-04-06 2000-01-01 20:46:54 UTC",355,"Registered Voters - Republican","Live Phone",7,7,11,5,13,5,1,6,1,9,1,1,1,0,NA,5,11,16,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-21979","http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/597ba39c-825d-4da6-9fe8-ab47201b82fe.pdf","Nonpartisan","None","Republican","Registered Voters","2015-04-06 20:46:54","1428378414"
"152","FOX","2015-03-29","2015-03-31","2015-04-03 2000-01-01 21:16:49 UTC",379,"Registered Voters - Republican","Live Phone",3,11,10,8,12,4,1,9,1,10,2,2,0,1,NA,3,15,6,"http://elections.huffingtonpost.com/pollster/polls/fox-21968","http://www.foxnews.com/politics/interactive/2015/04/02/fox-news-poll-more-families-feel-worse-than-better-as-result-obamacare-walker/","Nonpartisan","None","Republican","Registered Voters","2015-04-03 21:16:49","1428121009"
"153","PPP (D)","2015-03-26","2015-03-31","2015-04-01 2000-01-01 20:59:10 UTC",443,"Likely Voters - Republican","IVR/Online",NA,10,16,6,17,4,NA,10,NA,6,NA,NA,NA,NA,NA,3,20,8,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-21958","http://www.publicpolicypolling.com/pdf/2015/PPP_National_40115.pdf","Pollster","Dem","Republican","Likely Voters","2015-04-01 20:59:10","1427947150"
"154","ABC/Post","2015-03-26","2015-03-29","2015-04-02 2000-01-01 21:14:39 UTC",444,"Registered Voters - Republican","Live Phone",NA,6,12,8,21,7,1,8,1,8,1,2,1,NA,NA,2,13,8,"http://elections.huffingtonpost.com/pollster/polls/abc-post-21963","http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2015/04/02/National-Politics/Polling/release_393.xml","Nonpartisan","None","Republican","Registered Voters","2015-04-02 21:14:39","1428034479"
"155","YouGov/Economist","2015-03-21","2015-03-23","2015-03-27 2000-01-01 20:44:33 UTC",235,"Registered Voters - Republican","Internet",NA,10,8,5,14,6,3,5,2,5,2,1,1,NA,NA,5,19,11,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21931","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/onbotxemly/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-03-27 20:44:33","1427514273"
"156","CNN","2015-03-13","2015-03-15","2015-03-19 2000-01-01 00:55:37 UTC",450,"Adults - Republican","Live Phone",NA,9,4,7,16,7,0,12,2,10,1,1,1,NA,NA,4,13,9,"http://elections.huffingtonpost.com/pollster/polls/cnn-21887","http://i2.cdn.turner.com/cnn/2015/images/03/17/poll.2016.pdf","Nonpartisan","None","Republican","Adults","2015-03-19 00:55:37","1426751737"
"157","McClatchy/Marist","2015-03-01","2015-03-04","2015-03-09 2000-01-01 19:46:00 UTC",426,"Adults - Republican","Live Phone",NA,9,4,5,19,6,2,7,NA,10,NA,2,1,NA,NA,3,18,13,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-21830","http://maristpoll.marist.edu/wp-content/misc/usapolls/us150301/2016/Complete%20March%202015%20McClatchy_Marist%20Poll_2016_Tables.pdf#page=4","Nonpartisan","None","Republican","Adults","2015-03-09 19:46:00","1425955560"
"158","Quinnipiac","2015-02-26","2015-03-02","2015-03-05 2000-01-01 21:56:04 UTC",554,"Registered Voters - Republican","Live Phone",NA,7,6,5,16,8,NA,6,1,8,2,2,1,NA,NA,1,18,19,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-21821","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2172","Nonpartisan","None","Republican","Registered Voters","2015-03-05 21:56:04","1425621364"
"159","YouGov/Economist","2015-02-21","2015-02-23","2015-02-27 2000-01-01 01:55:05 UTC",255,"Registered Voters - Republican","Internet",NA,6,5,8,16,7,0,10,1,10,3,2,3,NA,NA,3,18,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21792","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2q8maq3vef/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-02-27 01:55:05","1425030905"
"160","PPP (D)","2015-02-20","2015-02-22","2015-02-24 2000-01-01 23:40:15 UTC",316,"Likely Voters - Republican","IVR/Online",NA,18,5,3,17,5,NA,4,NA,10,NA,NA,NA,NA,NA,3,25,11,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-21776","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_22415.pdf","Pollster","Dem","Republican","Likely Voters","2015-02-24 23:40:15","1424850015"
"161","CNN","2015-02-12","2015-02-15","2015-02-18 2000-01-01 23:55:19 UTC",1027,"Adults","Live Phone",NA,8,3,5,14,7,1,10,2,16,1,3,1,NA,NA,3,11,10,"http://elections.huffingtonpost.com/pollster/polls/cnn-21748","http://i2.cdn.turner.com/cnn/2015/images/02/19/rel2d.2016[2].pdf","Nonpartisan","None",NA,NA,"2015-02-18 23:55:19","1424332519"
"162","FOX","2015-01-25","2015-01-27","2015-01-29 2000-01-01 20:42:15 UTC",394,"Registered Voters - Republican","Live Phone",NA,9,4,5,10,4,NA,11,1,11,2,1,1,NA,NA,4,8,5,"http://elections.huffingtonpost.com/pollster/polls/fox-21658","http://www.foxnews.com/politics/interactive/2015/01/29/fox-news-poll-voters-believe-romney-clinton-remain-top-picks-for-2016-believe/","Nonpartisan","None","Republican","Registered Voters","2015-01-29 20:42:15","1422592935"
"163","PPP (D)","2015-01-22","2015-01-25","2015-01-30 2000-01-01 21:02:41 UTC",400,"Likely Voters - Republican","IVR/Online",NA,15,9,NA,17,7,NA,4,NA,9,NA,NA,NA,NA,NA,2,11,5,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-21663","http://www.publicpolicypolling.com/pdf/2014/PPP_Release_National_13015.pdf","Pollster","Dem","Republican","Likely Voters","2015-01-30 21:02:41","1422680561"
"164","YouGov/Economist","2015-01-10","2015-01-12","2015-01-15 2000-01-01 00:35:02 UTC",212,"Registered Voters - Republican","Internet",NA,10,9,2,12,3,NA,8,NA,8,NA,NA,0,NA,NA,2,6,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21599","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jpkqpdm59t/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-01-15 00:35:02","1421310902"
"165","CNN","2014-12-18","2014-12-21","2015-01-08 2000-01-01 02:01:23 UTC",453,"Adults - Republican","Live Phone",NA,7,4,5,23,13,NA,6,3,6,4,2,NA,NA,NA,4,4,8,"http://elections.huffingtonpost.com/pollster/polls/cnn-21580","http://i2.cdn.turner.com/cnn/2014/images/12/24/poll2.pdf","Nonpartisan","None","Republican","Adults","2015-01-08 02:01:23","1420711283"
"166","ABC/Post","2014-12-11","2014-12-14","2014-12-17 2000-01-01 04:12:41 UTC",410,"Registered Voters - Republican","Live Phone",NA,7,6,4,10,6,NA,9,2,6,2,3,NA,NA,NA,4,5,8,"http://elections.huffingtonpost.com/pollster/polls/abc-post-21520","https://s3.amazonaws.com/s3.documentcloud.org/documents/1384634/2014-12-14-trend-for-release.pdf","Nonpartisan","None","Republican","Registered Voters","2014-12-17 04:12:41","1418818361"
"167","FOX","2014-12-07","2014-12-09","2014-12-17 2000-01-01 04:31:55 UTC",392,"Registered Voters - Republican","Live Phone",NA,6,5,4,10,8,NA,8,2,8,1,1,NA,NA,NA,2,7,8,"http://elections.huffingtonpost.com/pollster/polls/fox-21521","http://www.foxnews.com/politics/interactive/2014/12/16/fox-news-poll-your-2016-presidential-election-fix/","Nonpartisan","None","Republican","Registered Voters","2014-12-17 04:31:55","1418819515"
"168","McClatchy/Marist","2014-12-03","2014-12-09","2014-12-16 2000-01-01 22:23:42 UTC",360,"Registered Voters - Republican","Live Phone",NA,8,4,3,14,9,1,5,2,9,1,3,NA,NA,NA,4,3,13,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-21519","http://maristpoll.marist.edu/wp-content/misc/usapolls/us141203/2016/Complete%20December%202014%20McClatchy_Marist%20Poll_2016_Release%20and%20Tables.pdf","Nonpartisan","None","Republican","Registered Voters","2014-12-16 22:23:42","1418797422"
"169","CNN","2014-11-21","2014-11-23","2014-12-03 2000-01-01 18:29:51 UTC",510,"Adults - Republican","Live Phone",NA,10,5,3,9,8,NA,6,2,7,1,2,NA,NA,NA,4,5,5,"http://elections.huffingtonpost.com/pollster/polls/cnn-21482","http://i2.cdn.turner.com/cnn/2014/images/12/02/cnnorcpoll12022014.pdf","Nonpartisan","None","Republican","Adults","2014-12-03 18:29:51","1417660191"
"170","Quinnipiac","2014-11-18","2014-11-23","2014-12-03 2000-01-01 17:55:56 UTC",707,"Registered Voters - Republican","Live Phone",NA,8,5,2,11,8,NA,6,2,5,2,1,NA,NA,NA,2,5,17,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-21481","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2116","Nonpartisan","None","Republican","Registered Voters","2014-12-03 17:55:56","1417658156"
"171","ABC/Post","2014-10-09","2014-10-12","2014-10-15 2000-01-01 11:45:34 UTC",NA,"Registered Voters - Republican","Live Phone",NA,6,3,6,10,8,NA,9,1,10,1,4,NA,NA,NA,5,1,8,"http://elections.huffingtonpost.com/pollster/polls/abc-post-20885","http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2014/10/15/National-Politics/Polling/release_367.xml","Nonpartisan","None","Republican","Registered Voters","2014-10-15 11:45:34","1413398734"
"172","McClatchy/Marist","2014-08-04","2014-08-07","2014-08-14 2000-01-01 15:54:28 UTC",342,"Registered Voters - Republican","Live Phone",NA,NA,10,9,13,13,NA,7,NA,NA,2,3,NA,NA,NA,7,4,23,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-20111","http://maristpoll.marist.edu/wp-content/misc/usapolls/us140804/2016/Complete%20August%2014,%202014%20McClatchy_Marist%20Poll%20Release%20and%20Tables.pdf","Nonpartisan","None","Republican","Registered Voters","2014-08-14 15:54:28","1408056868"
"173","FOX","2014-07-20","2014-07-22","2014-07-29 2000-01-01 15:30:55 UTC",358,"Registered Voters - Republican","Live Phone",NA,NA,9,9,12,10,NA,11,2,NA,4,3,NA,NA,NA,12,4,6,"http://elections.huffingtonpost.com/pollster/polls/fox-19979","http://www.foxnews.com/politics/interactive/2014/07/28/fox-news-polls-midterm-elections-2016-presidential-matchups/","Nonpartisan","None","Republican","Registered Voters","2014-07-29 15:30:55","1406673055"
"174","CNN","2014-07-18","2014-07-20","2014-07-28 2000-01-01 18:06:10 UTC",470,"Adults - Republican","Live Phone",NA,NA,8,6,8,13,NA,12,NA,12,NA,3,NA,NA,NA,11,5,5,"http://elections.huffingtonpost.com/pollster/polls/cnn-19958","http://i2.cdn.turner.com/cnn/2014/images/07/27/cnn.orc.poll.pdf","Nonpartisan","None","Republican","Adults","2014-07-28 18:06:10","1406595970"
"175","Quinnipiac","2014-06-24","2014-06-30","2014-07-08 2000-01-01 15:18:21 UTC",620,"Registered Voters - Republican","Live Phone",NA,NA,8,6,10,10,NA,11,2,10,1,2,NA,NA,NA,3,8,22,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-19810","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2058","Nonpartisan","None","Republican","Registered Voters","2014-07-08 15:18:21","1404857901"
"176","Zogby (Internet)","2014-06-27","2014-06-29","2014-07-10 2000-01-01 14:53:18 UTC",282,"Likely Voters - Republican","Internet",NA,NA,NA,7,13,13,NA,20,1,NA,4,NA,NA,NA,NA,NA,8,NA,"http://elections.huffingtonpost.com/pollster/polls/zogby-internet-19825","http://zogbyanalytics.com/news/474-rand-paul-leads-the-gop-pack-for-2016-and-not-by-a-little","Nonpartisan","None","Republican","Likely Voters","2014-07-10 14:53:18","1405029198"
"177","CNN","2014-05-29","2014-06-01","2014-06-16 2000-01-01 16:08:56 UTC",452,"Adults - Republican","Live Phone",NA,NA,9,8,12,8,NA,14,NA,11,NA,4,NA,NA,NA,6,5,7,"http://elections.huffingtonpost.com/pollster/polls/cnn-19676","http://i2.cdn.turner.com/cnn/2014/images/06/15/cnn.poll.hillary.democrats.pdf","Nonpartisan","None","Republican","Adults","2014-06-16 16:08:56","1402960136"
"178","CNN","2014-05-02","2014-05-04","2014-05-06 2000-01-01 14:41:15 UTC",473,"Adults - Republican","Live Phone",NA,NA,7,6,13,9,NA,13,NA,10,NA,2,NA,NA,NA,8,7,11,"http://elections.huffingtonpost.com/pollster/polls/cnn-19385","http://i2.cdn.turner.com/cnn/2014/images/05/06/rel5d.pdf","Nonpartisan","None","Republican","Adults","2014-05-06 14:41:15","1399412475"
"179","ABC/Post","2014-04-24","2014-04-27","2014-04-29 2000-01-01 10:34:08 UTC",NA,"Registered Voters - Republican","Live Phone",NA,NA,7,6,12,9,NA,15,1,14,2,NA,NA,NA,NA,5,5,9,"http://elections.huffingtonpost.com/pollster/polls/abc-post-19341","http://apps.washingtonpost.com/g/page/politics/april-2014-washington-post-abc-news-poll/989/","Nonpartisan","None","Republican","Registered Voters","2014-04-29 10:34:08","1398792848"
"180","FOX","2014-04-13","2014-04-15","2014-04-17 2000-01-01 14:27:44 UTC",384,"Registered Voters - Republican","Live Phone",NA,NA,7,8,14,15,NA,14,NA,NA,2,5,NA,NA,NA,5,5,9,"http://elections.huffingtonpost.com/pollster/polls/fox-19256","http://www.foxnews.com/politics/interactive/2014/04/21/fox-news-poll-independents-more-likely-to-back-anti-obamacare-candidates/","Nonpartisan","None","Republican","Registered Voters","2014-04-17 14:27:44","1397770064"
"181","McClatchy/Marist","2014-04-07","2014-04-10","2014-04-15 2000-01-01 20:58:53 UTC",416,"Registered Voters - Republican","Live Phone",NA,NA,4,7,13,12,NA,12,0,13,4,3,NA,NA,NA,3,5,14,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-19249","http://maristpoll.marist.edu/416-clinton-with-majority-support-against-gop-hopefuls/","Nonpartisan","None","Republican","Registered Voters","2014-04-15 20:58:53","1397620733"
"182","Reason/Rupe","2014-03-26","2014-03-30","2014-04-03 2000-01-01 15:31:19 UTC",NA,"Adults - Republican","Live Phone",NA,NA,6,6,11,10,NA,11,NA,15,1,NA,NA,NA,NA,NA,5,24,"http://elections.huffingtonpost.com/pollster/polls/reason-rupe-19173","http://reason.com/assets/db/13964619214696.pdf","Nonpartisan","None","Republican","Adults","2014-04-03 15:31:19","1396564279"
